,uuid,OBJECTID_1,count
191,2686f39c-bada-4658-854a-a62e7e5e8b8d,7758,392
192,2686f39c-bada-4658-854a-a62e7e5e8b8d,7759,128
193,2686f39c-bada-4658-854a-a62e7e5e8b8d,7760,2
194,2686f39c-bada-4658-854a-a62e7e5e8b8d,7762,507
195,2686f39c-bada-4658-854a-a62e7e5e8b8d,7765,58
196,2686f39c-bada-4658-854a-a62e7e5e8b8d,7769,291
197,2686f39c-bada-4658-854a-a62e7e5e8b8d,7770,82
198,2686f39c-bada-4658-854a-a62e7e5e8b8d,7772,6
199,2686f39c-bada-4658-854a-a62e7e5e8b8d,7775,4
200,2686f39c-bada-4658-854a-a62e7e5e8b8d,7776,8
201,2686f39c-bada-4658-854a-a62e7e5e8b8d,7777,4
202,2686f39c-bada-4658-854a-a62e7e5e8b8d,7778,441
203,2686f39c-bada-4658-854a-a62e7e5e8b8d,7779,807
204,2686f39c-bada-4658-854a-a62e7e5e8b8d,7788,10033
205,2686f39c-bada-4658-854a-a62e7e5e8b8d,7789,3648
206,2686f39c-bada-4658-854a-a62e7e5e8b8d,7817,476
207,2686f39c-bada-4658-854a-a62e7e5e8b8d,7818,543
208,2686f39c-bada-4658-854a-a62e7e5e8b8d,7821,680
209,2686f39c-bada-4658-854a-a62e7e5e8b8d,7829,2697
210,2686f39c-bada-4658-854a-a62e7e5e8b8d,7830,1598
211,2686f39c-bada-4658-854a-a62e7e5e8b8d,7831,161
212,2686f39c-bada-4658-854a-a62e7e5e8b8d,7853,109
213,2686f39c-bada-4658-854a-a62e7e5e8b8d,7854,14
214,2686f39c-bada-4658-854a-a62e7e5e8b8d,7856,491
215,2686f39c-bada-4658-854a-a62e7e5e8b8d,7871,1
216,2686f39c-bada-4658-854a-a62e7e5e8b8d,7898,94
217,2686f39c-bada-4658-854a-a62e7e5e8b8d,7901,104
218,2686f39c-bada-4658-854a-a62e7e5e8b8d,7906,3
219,2686f39c-bada-4658-854a-a62e7e5e8b8d,7910,15
220,2686f39c-bada-4658-854a-a62e7e5e8b8d,7911,1
221,2686f39c-bada-4658-854a-a62e7e5e8b8d,7915,3
222,2686f39c-bada-4658-854a-a62e7e5e8b8d,7916,4
223,2686f39c-bada-4658-854a-a62e7e5e8b8d,7932,58
224,2686f39c-bada-4658-854a-a62e7e5e8b8d,7995,3
225,2686f39c-bada-4658-854a-a62e7e5e8b8d,8030,32
226,2686f39c-bada-4658-854a-a62e7e5e8b8d,8036,62
227,2686f39c-bada-4658-854a-a62e7e5e8b8d,8037,370
228,2686f39c-bada-4658-854a-a62e7e5e8b8d,8075,249
229,2686f39c-bada-4658-854a-a62e7e5e8b8d,8083,521
230,2686f39c-bada-4658-854a-a62e7e5e8b8d,8086,433
231,2686f39c-bada-4658-854a-a62e7e5e8b8d,8099,9
232,2686f39c-bada-4658-854a-a62e7e5e8b8d,8100,80
233,2686f39c-bada-4658-854a-a62e7e5e8b8d,8101,348
234,2686f39c-bada-4658-854a-a62e7e5e8b8d,8102,188
235,2686f39c-bada-4658-854a-a62e7e5e8b8d,8103,740
236,2686f39c-bada-4658-854a-a62e7e5e8b8d,8105,257
237,2686f39c-bada-4658-854a-a62e7e5e8b8d,8124,2658
238,2686f39c-bada-4658-854a-a62e7e5e8b8d,8131,206
239,2686f39c-bada-4658-854a-a62e7e5e8b8d,8134,78
240,2686f39c-bada-4658-854a-a62e7e5e8b8d,8135,326
241,2686f39c-bada-4658-854a-a62e7e5e8b8d,8136,63
242,2686f39c-bada-4658-854a-a62e7e5e8b8d,8137,56
243,2686f39c-bada-4658-854a-a62e7e5e8b8d,8138,3663
244,2686f39c-bada-4658-854a-a62e7e5e8b8d,8140,137
245,2686f39c-bada-4658-854a-a62e7e5e8b8d,8159,22
246,26cd69e1-dc80-4b7f-929a-166f523f1fea,8083,8
247,26ed0941-449e-4fce-978c-a4cb645b9161,8103,26
248,2a28c8e5-b65f-44aa-9837-e02e5967b100,7901,1
249,2a28c8e5-b65f-44aa-9837-e02e5967b100,7911,1
250,2a28c8e5-b65f-44aa-9837-e02e5967b101,7901,1
251,2a28c8e5-b65f-44aa-9837-e02e5967b101,7911,1
252,2a28c8e5-b65f-44aa-9837-e02e5967b102,7911,2
253,2a28c8e5-b65f-44aa-9837-e02e5967b103,7911,4
254,2a28c8e5-b65f-44aa-9837-e02e5967b104,7911,1
255,2a28c8e5-b65f-44aa-9837-e02e5967b104,7916,1
256,2a28c8e5-b65f-44aa-9837-e02e5967b105,7901,1
257,2a28c8e5-b65f-44aa-9837-e02e5967b105,7902,1
258,2a28c8e5-b65f-44aa-9837-e02e5967b105,7911,2
259,2a28c8e5-b65f-44aa-9837-e02e5967b106,7901,3
260,2a28c8e5-b65f-44aa-9837-e02e5967b106,7911,3
261,2a28c8e5-b65f-44aa-9837-e02e5967b107,7911,4
262,2a28c8e5-b65f-44aa-9837-e02e5967b108,7911,4
263,2a28c8e5-b65f-44aa-9837-e02e5967b109,7911,2
264,2a28c8e5-b65f-44aa-9837-e02e5967b109,7912,2
265,2a955cfd-667b-4ac8-9141-73b9c168da7e,3743,35
266,2a955cfd-667b-4ac8-9141-73b9c168da7e,3748,18
267,2a955cfd-667b-4ac8-9141-73b9c168da7e,3780,9
268,2a955cfd-667b-4ac8-9141-73b9c168da7e,7903,36
269,2a955cfd-667b-4ac8-9141-73b9c168da7e,7916,2
270,2a955cfd-667b-4ac8-9141-73b9c168da7e,8004,10
271,2a955cfd-667b-4ac8-9141-73b9c168da7e,8015,18
272,2a955cfd-667b-4ac8-9141-73b9c168da7e,8024,34
273,2a955cfd-667b-4ac8-9141-73b9c168da7e,8026,15
274,2a955cfd-667b-4ac8-9141-73b9c168da7e,8027,15
275,2a955cfd-667b-4ac8-9141-73b9c168da7e,8034,5
276,2a955cfd-667b-4ac8-9141-73b9c168da7e,8035,119
277,2a955cfd-667b-4ac8-9141-73b9c168da7e,8048,41
278,2a955cfd-667b-4ac8-9141-73b9c168da7e,8062,24
279,2a955cfd-667b-4ac8-9141-73b9c168da7e,8064,7
280,2a955cfd-667b-4ac8-9141-73b9c168da7e,8071,45
281,2a955cfd-667b-4ac8-9141-73b9c168da7e,8073,32
282,2a955cfd-667b-4ac8-9141-73b9c168da7e,8074,3
283,2a955cfd-667b-4ac8-9141-73b9c168da7e,8077,7
284,2a955cfd-667b-4ac8-9141-73b9c168da7e,8099,73
285,2a955cfd-667b-4ac8-9141-73b9c168da7e,8104,32
286,2a955cfd-667b-4ac8-9141-73b9c168da7e,8131,1
287,2a955cfd-667b-4ac8-9141-73b9c168da7e,8132,51
288,2b63f6bd-8cd8-4d16-948b-9bbdb89fb2ac,8083,43
289,2c0a365b-6f57-c283-0822-10675002094f,8103,30
290,2ee009b5-0665-4584-8237-be05f0748e5d,8083,14
291,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,3775,24
292,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,3981,16
293,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,7767,41
294,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,7770,13
295,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,7817,6
296,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,8037,4
297,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,8075,13
298,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,8105,27
299,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,8138,175
300,2f234454-cf6d-4a0f-adf2-f4911ba9ffa6,8143,44
301,2f24dda5-6745-4d39-99cf-d6cbea086401,7856,3639
302,2f24dda5-6745-4d39-99cf-d6cbea086401,8103,610
303,2f98233b-c528-4156-b9f6-bb8f01d2b557,3775,12
304,2f98233b-c528-4156-b9f6-bb8f01d2b557,3981,85
305,2f98233b-c528-4156-b9f6-bb8f01d2b557,3984,36
306,307e9194-9fe3-4412-ba98-6e816161a379,3754,106
307,31b0987b-7e64-4b54-ade4-4daa75573cd7,7853,44
308,31b0987b-7e64-4b54-ade4-4daa75573cd7,7856,13
309,3261b607-3a79-51cd-730d-9f7ff836e339,7915,4
310,33f08f0f-cfa7-a254-0027-eb4bbf160a17,8138,28
311,36855890-eb06-4852-89b3-d35064ddce45,7737,21
312,36855890-eb06-4852-89b3-d35064ddce45,7747,12
313,38d76936-1b9f-425a-af17-612403da18b9,8138,117
314,3c4584f5-eb2c-a63c-1e57-000000000000,7818,1
315,3cc8082f-5a54-4b3c-aeef-fa2c7fce975f,8103,10
316,3ddab011-957f-7d4a-34a6-74696673696d,4337,48
317,3ddab011-957f-7d4a-34a6-74696673696d,4410,71
318,3ddab011-957f-7d4a-34a6-74696673696d,4417,81
319,400225dd-3d15-4a4b-9db3-93c4b2d01eda,8036,10
320,40a480af-a022-4050-95d6-51a700020000,7788,252
321,4152554e-f99b-4a3b-86d0-947070693a78,7770,22
322,4152554e-f99b-4a3b-86d0-947070693a78,7856,76
323,4152554e-f99b-4a3b-86d0-947070693a78,8075,66
324,4152554e-f99b-4a3b-86d0-947070693a78,8083,2
325,4165726f-6869-7665-4e65-74776f726b73,7789,186
326,4165726f-6869-7665-4e65-74776f726b73,7856,15
327,4165726f-6869-7665-4e65-74776f726b73,8083,204
328,4165726f-6869-7665-4e65-74776f726b73,8101,78
329,434b2eb8-c28f-4089-8e7a-1e644bb13b9f,4119,9
330,434b2eb8-c28f-4089-8e7a-1e644bb13b9f,4337,18
331,43a2bc29-c111-4a76-8b6f-78aecb142e5a,8124,71
332,43a2bc29-c111-4a76-8b6f-78aecb142e5a,8138,128
333,440b011b-acc7-4de3-b991-9e825c24c810,7932,15
334,440b011b-acc7-4de3-b991-9e825c24c810,7933,40
335,458a7133-0000-4e37-a4a4-5d8492586977,8101,115
336,458a7133-0000-4e37-a4a4-5d8492586977,8103,12
337,458a7133-0000-4e37-a4a4-5d8492586977,8137,409
338,494e5445-4c4c-495f-524f-434b535f4857,3775,12
339,494e5445-4c4c-495f-524f-434b535f4857,3981,8
340,494e5445-4c4c-495f-524f-434b535f4857,7759,5
341,494e5445-4c4c-495f-524f-434b535f4857,7817,55
342,494e5445-4c4c-495f-524f-434b535f4857,8037,15
343,494e5445-4c4c-495f-524f-434b535f4857,8102,25
344,494e5445-4c4c-495f-524f-434b535f4857,8103,10
345,4a84c409-89e1-497c-8251-2f2d778db8d6,7789,944
346,4a84c409-89e1-497c-8251-2f2d778db8d6,7830,408
347,4a84c409-89e1-497c-8251-2f2d778db8d6,7831,694
348,4a84c409-89e1-497c-8251-2f2d778db8d6,7856,161
349,4b993cd6-1f3a-466f-aac7-cd79c01b9a20,7737,30
350,4b993cd6-1f3a-466f-aac7-cd79c01b9a20,7845,1
351,4d744d1f-9ee8-6e91-60ec-9c0643d8dff2,4059,38
352,4d744d1f-9ee8-6e91-60ec-9c0643d8dff2,4060,5
353,4d744d1f-9ee8-6e91-60ec-9c0643d8dff2,4061,8
354,4d744d1f-9ee8-6e91-60ec-9c0643d8dff2,4062,15
355,4e5a3705-abc0-46ef-ba23-7ba0539f77ee,8124,28
356,504f4c45-5354-4152-0000-000000000000,8000,126
357,504f4c45-5354-4152-0000-000000000000,8037,2591
358,504f4c45-5354-4152-0000-000000000000,8124,2885
359,504f4c45-5354-4152-0000-000000000000,8138,1557
360,504f4c45-5354-4152-0000-000000000000,8143,66
361,5075f606-1e0e-11e7-93ae-92361f002671,8083,1
362,50765cb7-d9ea-4e21-99a4-fa879613a492,3743,2452
363,50765cb7-d9ea-4e21-99a4-fa879613a492,3754,2
364,50765cb7-d9ea-4e21-99a4-fa879613a492,3775,160
365,50765cb7-d9ea-4e21-99a4-fa879613a492,3780,766
366,50765cb7-d9ea-4e21-99a4-fa879613a492,3789,2062
367,50765cb7-d9ea-4e21-99a4-fa879613a492,3859,55
368,50765cb7-d9ea-4e21-99a4-fa879613a492,3867,4
369,50765cb7-d9ea-4e21-99a4-fa879613a492,3868,475
370,50765cb7-d9ea-4e21-99a4-fa879613a492,3869,158
371,50765cb7-d9ea-4e21-99a4-fa879613a492,3870,118
372,50765cb7-d9ea-4e21-99a4-fa879613a492,3882,462
373,50765cb7-d9ea-4e21-99a4-fa879613a492,3883,228
374,50765cb7-d9ea-4e21-99a4-fa879613a492,3981,68
375,50765cb7-d9ea-4e21-99a4-fa879613a492,3984,10
376,50765cb7-d9ea-4e21-99a4-fa879613a492,3985,33
377,50765cb7-d9ea-4e21-99a4-fa879613a492,4005,321
378,50765cb7-d9ea-4e21-99a4-fa879613a492,4013,205
379,50765cb7-d9ea-4e21-99a4-fa879613a492,4054,19
380,50765cb7-d9ea-4e21-99a4-fa879613a492,4055,168
381,50765cb7-d9ea-4e21-99a4-fa879613a492,4056,438
382,50765cb7-d9ea-4e21-99a4-fa879613a492,4059,193
383,50765cb7-d9ea-4e21-99a4-fa879613a492,4060,25
384,50765cb7-d9ea-4e21-99a4-fa879613a492,4061,9
385,50765cb7-d9ea-4e21-99a4-fa879613a492,4062,50
386,50765cb7-d9ea-4e21-99a4-fa879613a492,4065,152
387,50765cb7-d9ea-4e21-99a4-fa879613a492,4066,213
388,50765cb7-d9ea-4e21-99a4-fa879613a492,4086,35
389,50765cb7-d9ea-4e21-99a4-fa879613a492,4299,524
390,50765cb7-d9ea-4e21-99a4-fa879613a492,4337,244
391,50765cb7-d9ea-4e21-99a4-fa879613a492,4416,10
392,50765cb7-d9ea-4e21-99a4-fa879613a492,4417,246
393,50765cb7-d9ea-4e21-99a4-fa879613a492,4700,5
394,50765cb7-d9ea-4e21-99a4-fa879613a492,4786,1
395,50765cb7-d9ea-4e21-99a4-fa879613a492,4790,1
396,50765cb7-d9ea-4e21-99a4-fa879613a492,4843,16
397,50765cb7-d9ea-4e21-99a4-fa879613a492,7737,1157
398,50765cb7-d9ea-4e21-99a4-fa879613a492,7747,1468
399,50765cb7-d9ea-4e21-99a4-fa879613a492,7758,910
400,50765cb7-d9ea-4e21-99a4-fa879613a492,7759,45
401,50765cb7-d9ea-4e21-99a4-fa879613a492,7769,627
402,50765cb7-d9ea-4e21-99a4-fa879613a492,7770,47
403,50765cb7-d9ea-4e21-99a4-fa879613a492,7772,2
404,50765cb7-d9ea-4e21-99a4-fa879613a492,7778,139
405,50765cb7-d9ea-4e21-99a4-fa879613a492,7779,867
406,50765cb7-d9ea-4e21-99a4-fa879613a492,7788,4535
407,50765cb7-d9ea-4e21-99a4-fa879613a492,7789,5521
408,50765cb7-d9ea-4e21-99a4-fa879613a492,7817,750
409,50765cb7-d9ea-4e21-99a4-fa879613a492,7818,192
410,50765cb7-d9ea-4e21-99a4-fa879613a492,7821,224
411,50765cb7-d9ea-4e21-99a4-fa879613a492,7829,2911
412,50765cb7-d9ea-4e21-99a4-fa879613a492,7845,4
413,50765cb7-d9ea-4e21-99a4-fa879613a492,7856,899
414,50765cb7-d9ea-4e21-99a4-fa879613a492,7871,4
415,50765cb7-d9ea-4e21-99a4-fa879613a492,7901,3
416,50765cb7-d9ea-4e21-99a4-fa879613a492,7902,1
417,50765cb7-d9ea-4e21-99a4-fa879613a492,7903,6
418,50765cb7-d9ea-4e21-99a4-fa879613a492,7906,10
419,50765cb7-d9ea-4e21-99a4-fa879613a492,7910,43
